ID,:LABEL,name,family,synonyms,taxid
LINC00589,Gene,long intergenic non-protein coding RNA 589,Long intergenic non-protein coding RNAs,"619351,ENSG00000251191,OTTHUMG00000163800,uc064lqy.1,""BC003524|BC014230""",9606
ZBTB6,Gene,zinc finger and BTB domain containing 6,"""Zinc fingers C2H2-type|BTB domain containing""","10773,ENSG00000186130,OTTHUMG00000020628,uc004bnh.5,X82018",9606
RN7SL610P,Gene,"RNA, 7SL, cytoplasmic 610, pseudogene",,"106479444,ENSG00000243847,,uc061hbf.1,",9606
RNA5SP203,Gene,"RNA, 5S ribosomal pseudogene 203",,"100873464,ENSG00000222383,,uc063lvi.1,",9606
NMI,Gene,N-myc and STAT interactor,,"9111,ENSG00000123609,OTTHUMG00000131867,uc002txi.3,U32849",9606
SLC28A2-AS1,Gene,SLC28A2 antisense RNA 1,Antisense RNAs,"101928414,ENSG00000259520,,,",9606
RN7SKP156,Gene,RN7SK pseudogene 156,,"106480882,ENSG00000222240,,uc057nzx.1,",9606
TGFB1I1,Gene,transforming growth factor beta 1 induced transcript 1,LIM domain containing,"7041,ENSG00000140682,OTTHUMG00000132467,uc021tgx.1,AB007836",9606
WBP11P3,Gene,WBP11 pseudogene 3,,"727874,ENSG00000228051,,,",9606
COLGALT2,Gene,collagen beta(1-O)galactosyltransferase 2,Collagen beta(1-O)galactosyltransferases,"23127,ENSG00000198756,OTTHUMG00000035460,uc001gqr.4,AF288389",9606
MIR8060,Gene,microRNA 8060,MicroRNAs,"102465864,ENSG00000278103,,,",9606
VIPR1,Gene,vasoactive intestinal peptide receptor 1,Vasoactive intestinal peptide receptor family,"7433,ENSG00000114812,OTTHUMG00000131792,uc003clf.3,AH005329",9606
PSME2P4,Gene,proteasome activator subunit 2 pseudogene 4,,"338096,ENSG00000251332,OTTHUMG00000160425,,",9606
ZUP1,Gene,zinc finger containing ubiquitin peptidase 1,"""Zinc fingers C2H2-type|ZUP1 deubiquitinase""","221302,ENSG00000153975,OTTHUMG00000015445,uc003pxf.3,AK054582",9606
RPL13AP19,Gene,ribosomal protein L13a pseudogene 19,,"100132924,ENSG00000228754,OTTHUMG00000018177,,",9606
LINC00680,Gene,long intergenic non-protein coding RNA 680,Long intergenic non-protein coding RNAs,"106660612,ENSG00000215190,OTTHUMG00000014928,uc003ped.5,""BC011838|BC017330""",9606
PDYN,Gene,prodynorphin,Neuropeptides,"5173,ENSG00000101327,OTTHUMG00000031683,uc021vzu.2,",9606
RN7SL2,Gene,RNA component of signal recognition particle 7SL2,"""Signal recognition particle|Long non-coding RNAs with non-systematic symbols""","378706,ENSG00000274012,OTTHUMG00000189346,uc021rst.3,X04249",9606
CYP2C8,Gene,cytochrome P450 family 2 subfamily C member 8,Cytochrome P450 family 2,"1558,ENSG00000138115,OTTHUMG00000018804,uc001kkb.4,M17397",9606
MIR193BHG,Gene,MIR193b-365a host gene,MicroRNA non-coding host genes,"100129781,ENSG00000262454,OTTHUMG00000177423,,",9606
RPL36AP36,Gene,ribosomal protein L36a pseudogene 36,,"644834,ENSG00000237540,OTTHUMG00000017687,,",9606
ASPDH,Gene,aspartate dehydrogenase domain containing,,"554235,ENSG00000204653,OTTHUMG00000183057,uc010enz.4,",9606
GRPEL2P1,Gene,GRPEL2 pseudogene 1,,"100874360,ENSG00000233211,OTTHUMG00000017172,,",9606
LINC02250,Gene,long intergenic non-protein coding RNA 2250,Long intergenic non-protein coding RNAs,"105370737,ENSG00000235731,OTTHUMG00000056663,,",9606
BUD31P1,Gene,BUD31 homolog pseudogene 1,,"106480331,ENSG00000253684,OTTHUMG00000163963,,",9606
CREB3L2-AS1,Gene,CREB3L2 antisense RNA 1,Antisense RNAs,"100130880,ENSG00000237243,,,",9606
GSTM5P1,Gene,glutathione S-transferase mu 5 pseudogene 1,,"100505557,ENSG00000236062,OTTHUMG00000155336,,",9606
RPLP1,Gene,ribosomal protein lateral stalk subunit P1,L ribosomal proteins,"6176,ENSG00000137818,OTTHUMG00000172087,uc002asd.2,",9606
CNFN,Gene,cornifelin,,"84518,ENSG00000105427,OTTHUMG00000182813,uc002otp.5,AB049591",9606
LINC02461,Gene,long intergenic non-protein coding RNA 2461,Long intergenic non-protein coding RNAs,"105369740,ENSG00000258331,OTTHUMG00000169352,,",9606
RAB40B,Gene,"RAB40B, member RAS oncogene family","""RAB, member RAS oncogene GTPases|MicroRNA protein coding host genes""","10966,ENSG00000141542,OTTHUMG00000177806,uc002kft.4,U05227",9606
SLC25A37,Gene,solute carrier family 25 member 37,Solute carriers,"51312,ENSG00000147454,OTTHUMG00000163865,uc003xds.4,AF495725",9606
JADE2,Gene,jade family PHD finger 2,PHD finger proteins,"23338,ENSG00000043143,OTTHUMG00000129122,,AJ251833",9606
IGLV7-35,Gene,immunoglobulin lambda variable 7-35 (pseudogene),Immunoglobulin lambda locus at 22q11.2,"28777,ENSG00000253631,OTTHUMG00000151067,,Z73660",9606
KRT18P17,Gene,keratin 18 pseudogene 17,,"344866,ENSG00000213943,OTTHUMG00000155395,,",9606
SH3BGRL,Gene,SH3 domain binding glutamate rich protein like,,"6451,ENSG00000131171,OTTHUMG00000021910,uc004eef.4,AF042081",9606
TNFSF13B,Gene,TNF superfamily member 13b,"""CD molecules|Tumor necrosis factor superfamily""","10673,ENSG00000102524,OTTHUMG00000017329,uc001vqr.4,AF136293",9606
VN1R2,Gene,vomeronasal 1 receptor 2,Vomeronasal receptors,"317701,ENSG00000196131,OTTHUMG00000182906,uc002qbi.2,AF370359",9606
OR4L1,Gene,olfactory receptor family 4 subfamily L member 1,"Olfactory receptors, family 4","122742,ENSG00000176246,OTTHUMG00000169492,uc001vwn.1,",9606
RPL39P31,Gene,ribosomal protein L39 pseudogene 31,,"100271525,ENSG00000242176,OTTHUMG00000158246,,",9606
RN7SL400P,Gene,"RNA, 7SL, cytoplasmic 400, pseudogene",,"106481033,ENSG00000243059,,uc059gpv.1,",9606
CDC40,Gene,cell division cycle 40,"""WD repeat domain containing|NTC associated proteins|Spliceosomal Bact complex|Spliceosomal C complex|Spliceosomal P complex""","51362,ENSG00000168438,OTTHUMG00000015358,uc003pua.4,AF015044",9606
BSG-AS1,Gene,BSG antisense RNA 1,Antisense RNAs,"105372233,ENSG00000267751,,,",9606
C7,Gene,complement C7,"""Sushi domain containing|Complement system activation components""","730,ENSG00000112936,OTTHUMG00000150340,uc003jmh.5,J03507",9606
RNU7-77P,Gene,"RNA, U7 small nuclear 77 pseudogene",,"100151674,ENSG00000253054,,uc057sss.1,",9606
MIR374A,Gene,microRNA 374a,MicroRNA MIR374 family,"442919,ENSG00000199168,,uc011mqm.3,",9606
LINC01504,Gene,long intergenic non-protein coding RNA 1504,Long intergenic non-protein coding RNAs,"100507540,ENSG00000225434,OTTHUMG00000020007,,AK095210",9606
RAD54B,Gene,RAD54 homolog B,,"25788,ENSG00000197275,OTTHUMG00000133658,uc003ygk.4,AF112481",9606
UGT1A7,Gene,UDP glucuronosyltransferase family 1 member A7,UDP glucuronosyltransferases,"54577,ENSG00000244122,OTTHUMG00000059004,uc002vut.4,U39570",9606
KIR2DL2,Gene,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2","""CD molecules|Killer cell immunoglobulin like receptors""","3803,,OTTHUMG00000151579,uc061eyy.1,""L76669|GL949748|GL949753""",9606
LINC01432,Gene,long intergenic non-protein coding RNA 1432,Long intergenic non-protein coding RNAs,"100270679,ENSG00000234435,OTTHUMG00000032036,,",9606
MIR574,Gene,microRNA 574,MicroRNAs,"693159,ENSG00000207944,,uc021xno.1,",9606
ELP3,Gene,elongator acetyltransferase complex subunit 3,"""Lysine acetyltransferases|Elongator acetyltransferase complex |GCN5 related N-acetyltransferases|Radical S-adenosylmethionine domain containing""","55140,ENSG00000134014,OTTHUMG00000102124,uc003xgn.6,",9606
PTCD2P2,Gene,pentatricopeptide repeat domain 2 pseudogene 2,,"100132487,ENSG00000234256,OTTHUMG00000018704,,",9606
SMCO2,Gene,single-pass membrane protein with coiled-coil domains 2,,"341346,ENSG00000165935,OTTHUMG00000169205,uc010sjq.2,",9606
FAM214A,Gene,family with sequence similarity 214 member A,,"56204,ENSG00000047346,OTTHUMG00000172688,uc002acg.6,AB037791",9606
LINC02555,Gene,long intergenic non-protein coding RNA 2555,Long intergenic non-protein coding RNAs,"101930164,ENSG00000260943,OTTHUMG00000172895,,AK026751",9606
CLDN10-AS1,Gene,CLDN10 antisense RNA 1,Antisense RNAs,"100874194,ENSG00000223392,OTTHUMG00000017220,uc031qmx.1,",9606
ACOX1,Gene,acyl-CoA oxidase 1,,"51,ENSG00000161533,OTTHUMG00000180027,uc002jqe.5,U03254",9606
PSMD1,Gene,"proteasome 26S subunit, non-ATPase 1","""Proteasome|Armadillo like helical domain containing""","5707,ENSG00000173692,OTTHUMG00000133223,uc002vrn.3,D44466",9606
ASH1L,Gene,ASH1 like histone lysine methyltransferase,"""PHD finger proteins|Lysine methyltransferases|Bromodomain containing|SET domain containing|MicroRNA protein coding host genes""","55870,ENSG00000116539,OTTHUMG00000014011,uc001fkt.4,AB037841",9606
KRT8,Gene,keratin 8,"Keratins, type II","3856,ENSG00000170421,OTTHUMG00000169881,uc009zmm.3,BC000654",9606
PDLIM4,Gene,PDZ and LIM domain 4,"""LIM domain containing|PDZ domain containing""","8572,ENSG00000131435,OTTHUMG00000059645,uc003kwn.4,AF153882",9606
OR2D2,Gene,olfactory receptor family 2 subfamily D member 2,"Olfactory receptors, family 2","120776,ENSG00000166368,OTTHUMG00000165741,uc010rau.3,AB065824",9606
SNORA31B,Gene,"small nucleolar RNA, H/ACA box 31B","Small nucleolar RNAs, H/ACA box","109616966,,,,",9606
LINC00279,Gene,long intergenic non-protein coding RNA 279,Long intergenic non-protein coding RNAs,"100873963,ENSG00000286217,OTTHUMG00000041258,uc065cqk.1,",9606
MYNN,Gene,myoneurin,"""Zinc fingers C2H2-type|BTB domain containing""","55892,ENSG00000085274,OTTHUMG00000184027,uc003fft.4,AF148848",9606
MIR941-5,Gene,microRNA 941-5,MicroRNAs,"103504732,ENSG00000275842,,,",9606
PCDHGC4,Gene,"protocadherin gamma subfamily C, 4",Clustered protocadherins,"56098,ENSG00000242419,OTTHUMG00000129625,uc003lky.3,AF152525",9606
CREBRF,Gene,CREB3 regulatory factor,,"153222,ENSG00000164463,OTTHUMG00000163322,uc003mch.4,AY139008",9606
TMEM53,Gene,transmembrane protein 53,,"79639,ENSG00000126106,OTTHUMG00000007833,uc001cmc.4,",9606
AP1S3,Gene,adaptor related protein complex 1 subunit sigma 3,Adaptor related protein complex 1,"130340,ENSG00000152056,OTTHUMG00000133165,uc002vnn.4,AF393369",9606
ZNF613,Gene,zinc finger protein 613,Zinc fingers C2H2-type,"79898,ENSG00000176024,OTTHUMG00000182424,uc061bzl.1,AK027565",9606
MT-TP,Gene,mitochondrially encoded tRNA-Pro (CCN),Mitochondrially encoded transfer RNAs,"4571,ENSG00000210196,,uc022bqx.2,",9606
LINC01794,Gene,long intergenic non-protein coding RNA 1794,Long intergenic non-protein coding RNAs,"101929700,ENSG00000233128,OTTHUMG00000152401,,",9606
PABIR1,Gene,PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1,,"116224,ENSG00000187866,OTTHUMG00000019971,uc004agw.2,AK126379",9606
RN7SKP118,Gene,RN7SK pseudogene 118,,"106633802,ENSG00000201201,,uc059vtf.1,",9606
OR51C1P,Gene,olfactory receptor family 51 subfamily C member 1 pseudogene,"Olfactory receptors, family 51","401661,ENSG00000197674,OTTHUMG00000186285,,",9606
MIR1260B,Gene,microRNA 1260b,MicroRNAs,"100422991,ENSG00000266192,,uc021qoz.2,",9606
MIR3935,Gene,microRNA 3935,MicroRNAs,"100500891,ENSG00000265281,,uc021tis.1,",9606
MIR6761,Gene,microRNA 6761,MicroRNAs,"102465456,ENSG00000274697,,,",9606
PTPRR,Gene,protein tyrosine phosphatase receptor type R,Protein tyrosine phosphatases receptor type,"5801,ENSG00000153233,OTTHUMG00000169502,uc001swi.3,D64053",9606
YBX1P4,Gene,Y-box binding protein 1 pseudogene 4,,"100131012,ENSG00000213188,OTTHUMG00000157256,,",9606
TTTY18,Gene,"testis-specific transcript, Y-linked 18",Long non-coding RNAs with non-systematic symbols,"252950,ENSG00000233699,OTTHUMG00000041267,uc004fri.1,",9606
LYZ,Gene,lysozyme,"Lysozymes, c-type","4069,ENSG00000090382,OTTHUMG00000169342,uc001suw.3,X14008",9606
FAM207CP,Gene,"family with sequence similarity 207 member C, pseudogene",,"727987,ENSG00000232797,OTTHUMG00000074236,,",9606
RBM46,Gene,RNA binding motif protein 46,RNA binding motif containing,"166863,ENSG00000151962,OTTHUMG00000161543,uc003ioo.5,BC028588",9606
